DATE,MNFREE7URN,MHIMN27047A052NCEN,PI27047,B03002005E027047,B080ACS027047,S1701ACS027047,MNFREE7POP,MNFREE7LFN,PUA5T17RMN27047A647NCEN,FBITC027047,RACEDISPARITY027047,PE5T17MN27047A647NCEN,PEU18MN27047A647NCEN,CBR27047MNA647NCEN,2020RATIO027047,B14005DCYACS027047,DP04ACS027047,CDC20N2U027047,USPTOISSUED027047,PCPI27047,PUAAMN27047A647NCEN,B01002001E027047,CDC20N2UAA027047,ATNHPIUS27047A,EQFXSUBPRIME027047,HC01ESTVC1727047,HC01ESTVC1627047,B03002003E027047,B03002006E027047,B03002012E027047,ENU2704720510,BPPRIV027047,MHICILBMN27047A052NCEN,MHICIUBMN27047A052NCEN,PUA0T17MN27047A647NCEN,HOWNRATEACS027047,NETMIGNACS027047,S1101SPHOUSE027047,PEAAMN27047A647NCEN,PPAAMN27047A156NCEN,PECILBAAMN27047A647NCEN,PECIUBAAMN27047A647NCEN,PPCILBAAMN27047A156NCEN,DMPCRATE027047,PPCIUBAAMN27047A156NCEN,S1501ACSTOTAL027047,PP5T17MN27047A156NCEN,PECILB5T17MN27047A647NCEN,PECIUB5T17MN27047A647NCEN,PPCILB5T17MN27047A156NCEN,PPU18MN27047A156NCEN,B03002004E027047,PECILBU18MN27047A647NCEN,PECIUBU18MN27047A647NCEN,PPCILBU18MN27047A156NCEN,PPCIUB5T17MN27047A156NCEN,PPCIUBU18MN27047A156NCEN,county
1991-01-01,8.8,,523379.0,,,,32.884,16909,,,,,,,,,,,,15916.0,,,,64.3,,,,,,,781.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1991-02-01,7.5,,,,,,,16637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1991-03-01,7.2,,,,,,,16801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1991-04-01,5.9,,,,,,,16995,,,,,,,,,,,,,,,,,,,,,,,777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1991-05-01,5.8,,,,,,,17031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1991-06-01,5.8,,,,,,,17461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1991-07-01,5.4,,,,,,,16891,,,,,,,,,,,,,,,,,,,,,,,782.0,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1991-08-01,5.1,,,,,,,16793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1991-09-01,5.5,,,,,,,16883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1991-10-01,4.4,,,,,,,17194,,,,,,,,,,,,,,,,,,,,,,,790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1991-11-01,4.4,,,,,,,16998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1991-12-01,4.4,,,,,,,16879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1992-01-01,5.9,,557988.0,,,,32.848,16859,,,,,,,,,,,,16987.0,,,,65.2,,,,,,,779.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1992-02-01,5.4,,,,,,,16746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1992-03-01,5.1,,,,,,,16749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1992-04-01,4.2,,,,,,,17123,,,,,,,,,,,,,,,,,,,,,,,776.0,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1992-05-01,4.4,,,,,,,17108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1992-06-01,4.5,,,,,,,17726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1992-07-01,4.1,,,,,,,17245,,,,,,,,,,,,,,,,,,,,,,,782.0,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1992-08-01,3.8,,,,,,,17177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1992-09-01,4.3,,,,,,,17048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1992-10-01,3.5,,,,,,,17230,,,,,,,,,,,,,,,,,,,,,,,774.0,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1992-11-01,3.7,,,,,,,17283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1992-12-01,3.6,,,,,,,17211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1993-01-01,5.4,29022.0,542431.0,,,,33.038000000000004,17374,,,,898.0,1365.0,2284.0,,,,,,16418.0,,,,67.61,,,,,,,777.0,38.0,26745.0,31288.0,,,,,3850.0,11.9,3043.0,4657.0,9.4,,14.3,,14.1,678.0,1117.0,10.7,16.0,,1062.0,1667.0,12.5,17.6,19.6,FREEBORN
1993-02-01,5.5,,,,,,,17321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1993-03-01,6.5,,,,,,,17575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1993-04-01,6.1,,,,,,,17595,,,,,,,,,,,,,,,,,,,,,,,769.0,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1993-05-01,5.5,,,,,,,17568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1993-06-01,5.7,,,,,,,17809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1993-07-01,5.3,,,,,,,17343,,,,,,,,,,,,,,,,,,,,,,,774.0,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1993-08-01,5.1,,,,,,,17171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1993-09-01,5.0,,,,,,,17285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1993-10-01,4.9,,,,,,,17443,,,,,,,,,,,,,,,,,,,,,,,781.0,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1993-11-01,5.9,,,,,,,17606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1993-12-01,5.4,,,,,,,17349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1994-01-01,7.4,,588096.0,,,,32.941,17037,,,,,,,,,,,,17853.0,,,,68.44,,,,,,,772.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1994-02-01,6.3,,,,,,,16820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1994-03-01,7.6,,,,,,,17075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1994-04-01,9.0,,,,,,,16736,,,,,,,,,,,,,,,,,,,,,,,775.0,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1994-05-01,7.5,,,,,,,16603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1994-06-01,8.5,,,,,,,17065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1994-07-01,7.1,,,,,,,16345,,,,,,,,,,,,,,,,,,,,,,,765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1994-08-01,6.4,,,,,,,16304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1994-09-01,6.1,,,,,,,16605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1994-10-01,5.2,,,,,,,16572,,,,,,,,,,,,,,,,,,,,,,,784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1994-11-01,5.1,,,,,,,16587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1994-12-01,4.8,,,,,,,16241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1995-01-01,6.7,30507.0,591251.0,,,,32.541,16277,,,,726.0,1117.0,2095.0,,,,,,18169.0,,,,70.6,,,,,,,783.0,35.0,27386.0,33611.0,,,,,3252.0,10.2,2579.0,3925.0,8.1,,12.3,,11.8,562.0,890.0,9.2,13.6,,871.0,1363.0,10.6,14.5,16.6,FREEBORN
1995-02-01,5.9,,,,,,,16071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1995-03-01,5.6,,,,,,,16192,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1995-04-01,5.1,,,,,,,16401,,,,,,,,,,,,,,,,,,,,,,,791.0,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1995-05-01,4.4,,,,,,,16281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1995-06-01,4.5,,,,,,,16664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1995-07-01,4.3,,,,,,,16304,,,,,,,,,,,,,,,,,,,,,,,772.0,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1995-08-01,3.7,,,,,,,16090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1995-09-01,4.3,,,,,,,16222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1995-10-01,3.7,,,,,,,16244,,,,,,,,,,,,,,,,,,,,,,,799.0,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1995-11-01,3.9,,,,,,,16228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
1995-12-01,4.4,,,,,,,16060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FREEBORN
